stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:07334:32625:0:2","Sondernheim Scherer","49.19783050","8.36018017","","","","Pde:07334:32625"
"de:07334:32636:0:1","Germersheim Wasserturm","49.21229802","8.36576770","","","","Pde:07334:32636"
"de:07334:32636:0:2","Germersheim Wasserturm","49.21270293","8.36636058","","","","Pde:07334:32636"
"de:07334:32637:2:13","Germersheim Bahnhof","49.22502476","8.36510294","","","","Pde:07334:32637"
"de:07334:32637:4:4","Germersheim","49.22569357","8.36491430","","","","Pde:07334:32637"
"de:07334:32660:1:1","Bellheim Bf.","49.18796199","8.29444146","","","","Pde:07334:32660"
"de:07334:32660:2:11","Bellheim Bahnhof","49.18937693","8.29430672","","","","Pde:07334:32660"
"de:07334:32660:4:2","Bellheim Bf.","49.18906576","8.29463011","","","","Pde:07334:32660"
"de:07334:35002:1:1","Sondernheim","49.19553526","8.36036882","","","","Pde:07334:35002"
"de:07334:35002:2:22","Sondernheim","49.19470167","8.36060238","","","","Pde:07334:35002"
"de:07334:35002:4:2","Sondernheim","49.19480734","8.36026102","","","","Pde:07334:35002"
"de:07334:35003:1:1","Rheinzabern Bf.","49.12032650","8.27442700","","","","Pde:07334:35003"
"de:07334:35003:3:11","Rheinzabern","49.11913888","8.27422039","","","","Pde:07334:35003"
"de:07334:35003:3:12","Rheinzabern","49.11919179","8.27423835","","","","Pde:07334:35003"
"de:07334:35003:4:2","Rheinzabern Bf.","49.11926234","8.27405869","","","","Pde:07334:35003"
"de:07334:35004:1:1","Jockgrim Bf.","49.09318644","8.27235189","","","","Pde:07334:35004"
"de:07334:35004:3:91","Jockgrim Bahnhof (Ersatzhalt)","49.09233936","8.27277410","","","","Pde:07334:35004"
"de:07334:35004:3:92","Jockgrim Bahnhof (Ersatzhalt)","49.09159815","8.27162425","","","","Pde:07334:35004"
"de:07334:35004:4:2","Jockgrim Bf.","49.09052750","8.27210934","","","","Pde:07334:35004"
"de:08115:4510:2:1","Bondorf (b. Herrenberg)","48.52347798","8.82789701","","","","Pde:08115:4510"
"de:08115:4510:3:3","Bondorf Bahnhof","48.52346013","8.82823837","","","","Pde:08115:4510"
"de:08115:4512:5:12","Herrenberg ZOB","48.59400368","8.86443149","","","","Pde:08115:4512"
